label,Question 
invalid,\xc3\x82\xc2\xa01+++5.\xc3\x82\xc2\xa0gave\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0expression.\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0output.\xc3\x82\xc2\xa0Its\xc3\x82\xc2\xa0error.\xc3\x82\xc2\xa0He\xc3\x82\xc2\xa0 asked \xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0error?\xc3\x82\xc2\xa0Lvalue\xc3\x82\xc2\xa0required. Then\xc3\x82\xc2\xa0he\xc3\x82\xc2\xa0extended\xc3\x82\xc2\xa0 the\xc3\x82\xc2\xa0quetion.\xc3\x82\xc2\xa0Output\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0i+++5.\xc3\x82\xc2\xa0It\xc3\x82\xc2\xa0wont\xc3\x82\xc2\xa0show\xc3\x82\xc2\xa0error.Correct\xc3\x82\xc2\xa0value\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0printed
invalid,When\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0linker\xc3\x82\xc2\xa0error\xc3\x82\xc2\xa0occur?
valid,Write\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0prog\xc3\x82\xc2\xa0implementing\xc3\x82\xc2\xa0all\xc3\x82\xc2\xa0oops\xc3\x82\xc2\xa0concepts(operator\xc3\x82\xc2\xa0overloading,copy\xc3\x82\xc2\xa0 constructor,friend\xc3\x82\xc2\xa0functions)
valid,Implement\xc3\x82\xc2\xa0stacks
invalid,How\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0u\xc3\x82\xc2\xa0find\xc3\x82\xc2\xa0e\xc3\x82\xc2\xa0power\xc3\x82\xc2\xa024\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0C.He\xc3\x82\xc2\xa0was\xc3\x82\xc2\xa0trying\xc3\x82\xc2\xa02\xc3\x82\xc2\xa0ask\xc3\x82\xc2\xa0whether\xc3\x82\xc2\xa0ill\xc3\x82\xc2\xa0implement\xc3\x82\xc2\xa0using\xc3\x82\xc2\xa0 pow..I\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0cant\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0Just\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0basic\xc3\x82\xc2\xa0method\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0loop
invalid,Three\xc3\x82\xc2\xa0access\xc3\x82\xc2\xa0specifiers\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0C++\xc3\x82\xc2\xa0?\xc3\x82\xc2\xa0default\xc3\x82\xc2\xa0access\xc3\x82\xc2\xa0 specifier\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0structure,\xc3\x82\xc2\xa0class
invalid,Are\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0tired?
valid,How\xc3\x82\xc2\xa0was\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0process\xc3\x82\xc2\xa0till\xc3\x82\xc2\xa0now?
invalid,Coding questions on data structures and oops
invalid,Various questions on cv, projects, por's, etc
valid,Tell me about yourself ?
invalid,Questions on Projects (B.Tech Project) and Internship Experience
valid,Find if duplicates exist in a Linked List? (With and Without using extra space)
valid,OOPs(Abstract Class,Pure Virtual Functions), Mutable and Immutable in C++
valid,Asked me give my own Task Scheduling Algorithm and improve it further
valid,Supervised and Unsupervised Learning with examples
invalid,Asked to critique my current B.Tech Project
valid,Questions on BIT Operators in C++
invalid,Multiple questions - Questions are mostly interviewer specific
valid,Interviewer:"This is purely a management profile.You are from technical background.How dare you to sit in front of me?"
valid,What are your management skills?
valid,what are your weakness?strengths?Mention a situation where u are very stressed and how did you overcome it?
valid,Why do you want to join Amazon?
valid,What makes you suitable for this job?
invalid,Time work puzzle
invalid,River Temple puzzle
valid,3l and 5L cans puzzle
valid,General questions: HR questions- introduction etc, Why HSBC, and a chat about how the interview process runs
valid,Technical questions about how a commercial bank\xc3\xa2\xe2\x82\xac\xc5\xb8s CEO would assess its performance- (was asked such questions because of prior banking / financial services experience
valid,Questions about work ex- ethical dilemmas faced / independence of auditors; asked because of experience as a team leader for audit of large clients and 6 years of audit experience   \xc3\xaf\xe2\x80\x9a\xc2\xa7
valid,Concluded with are you open to working in any location and meeting the colleague from HR in some time
valid,Was explained CMB\xc3\xa2\xe2\x82\xac\xc5\xb8s structure and the business segment they were interviewing me for and was asked whether I was open to making a career in commercial banking
invalid,macroeconomics (exchange rate stuff, bit of discussion on monetary policy),
valid,puzzles(a lot of them)
valid,derivatives (asked me to price a digital option w/o using term 1 quant stuff)
valid,deal valuation(in IBD interview), discussion on retail sector(in almost all the rounds since I had worked for online retail firm Amazon.com)
valid,Financial Ratios (last chapter of finacc course)
invalid,Mostly on Financial accounting
invalid,questions on  Cash flow statements ( Project during 1st term )
valid,Tell me about yourself
valid,why finance
invalid,few simple technical questions.
valid,on resume
valid,academic performance
valid,career interest.
valid,They explained the work they do and asked whether that would interest or not?
valid,personals
invalid,Current affairs
invalid,Questions on finance
invalid,Questions on economics
invalid,Resume based questions
invalid,basics about Options
invalid,based on HR/personals and basic quants
valid,on personal history and short term/long term plans
valid,on professional experience
valid,quick mental maths
valid,prior personal investment
valid,philosophy/experience and knowledge and keenness w.r.t. the PE industry/company
valid,Checked mathematical problem solving ability
invalid,Was given puzzles (probability based problem solving)
valid,what type of discount rates would you use in a DCF model if you were assuming CAPM model to be true
valid,about power sector valuation in general due to prior experience in the same.
valid,Interest in IBanking
invalid,Questions abt work experience
valid,general talk abt Mumbai
valid,then asked to give a small presentation on the case they give \xc3\xa2\xe2\x82\xac\xe2\x80\x9c defend your viewpoint
valid,Questions on hobbies and interests
invalid,one problem on probability
valid,Brief introduction,,
valid,why markets?
invalid,2-3 puzzles,
invalid,economics questions
invalid,Questions on finance
invalid,Persuasive Selling
valid,On the work experience front it was mainly on my patents, research papers & main assignments in last job.
valid,about my role in the family business.
invalid,Discussion about my real estate investments.
valid,Personals about me
invalid,Questions on macroeconomics Funda
invalid,Questions on financial funda
invalid,puzzles
invalid,puzzle
invalid,Probability questions
valid,why I think I would fit in a structuring role
invalid,discussed about my projs/work ex
valid,Personals
valid,work experience
invalid,Questions on accounting
invalid,Questions on corporate finance
invalid,puzzles
invalid,Puzzles
invalid,some hr questions
valid,something from resume
invalid,questions on probability
invalid,questions on  statistics
invalid,some very basic question on options
invalid,HR & role fit
valid,what do I know about the role
valid,why I do structuring
valid,why I don\xc3\xa2\xe2\x82\xac\xc5\xb8t want to do others etc
invalid,basic HR stuff..personals
valid,\xc3\xa2\xe2\x82\xac\xc5\x93How would you market the Kolkata Tramways to a foreigner?
valid,How would you prepare the dinner menu for exchange students coming from diverse cultures?
valid,Describe the ICICI Prudential advertisement
invalid,related to work-ex
valid,related to financial areas  dwelled upon in depth
valid,Concepts from FINAC such as ratio analysis
invalid,General HR questions
invalid,Macroeconomics, ,
valid,understanding of the current state of global economy
valid,knowledge of derivatives,
valid,understanding of the derivatives involved in sub-prime crisis
invalid,Discussion on current newspaper headlines
valid,Discussion on the economies of US, UK, India and China
invalid,questions based on resume
invalid,Questions based on projects, PORs, extra-curriculum
invalid,finance related questions
valid,Personals (tell me about yourself, couple of short questions from resume
valid,Lots of personals about why markets (why not consulting too!), why Deutsche etc
invalid,Couple of puzzles (reasonably simple)
valid,Some problems on hedging using futures, FX exposure, credit exposure etc. Interest rates, currencies, some macro gyaan
valid,Good no. of questions on subprime crisis (both factual and also interpretation based questions like \xc3\xa2\xe2\x82\xac\xc5\xbeWhat would you do if you were Ben Bernanke and you found out about all this in 2007\xc3\xa2\xe2\x82\xac\xc5\xb8)
valid,Couple of questions testing knowledge of capital markets etc (\xc3\xa2\xe2\x82\xac\xc5\xbeIf I were an FII with 100 million dollars, where should I invest it today?\xc3\xa2\xe2\x82\xac\xc5\xb8 etc)
invalid,Case based,
invalid,some personal questions
invalid,career related
valid,Personals (tell me about yourself, couple of short questions from resume
valid,Lots of personals about why markets (why not consulting too!), why Deutsche etc
invalid,Couple of puzzles (reasonably simple)
valid,Some problems on hedging using futures, FX exposure, credit exposure etc. Interest rates, currencies, some macro gyaan
valid,Good no. of questions on subprime crisis (both factual and also interpretation based questions like \xc3\xa2\xe2\x82\xac\xc5\xbeWhat would you do if you were Ben Bernanke and you found out about all this in 2007\xc3\xa2\xe2\x82\xac\xc5\xb8)
valid,Couple of questions testing knowledge of capital markets etc (\xc3\xa2\xe2\x82\xac\xc5\xbeIf I were an FII with 100 million dollars, where should I invest it today?\xc3\xa2\xe2\x82\xac\xc5\xb8 etc)
invalid,finance related questions
invalid,general questions
valid,puzzles given
invalid,questions based on accounting ad texhnocal stuff
invalid,quizzed about the various financial ratios (D/E, EPS, ROI, Debt coverage, Current Ratio, Leverage, etc.)
valid,what they are and how useful they are in various situations, which stakeholder (investor, analyst, creditor) would look at what kind of ratio and why.
valid,some questions which tried to gauge my knowledge about investment banking and my level of interest in the same.
invalid,Questions based on resume
invalid,About my project during college
valid,Prehistoric War & Estimating Cost in setting up a bank
invalid,Personal Questions
valid,Work Ex related and personal
valid,Walk me through you resume?
valid,Do you have any experience in finance? Where did you learn about finance from ?
invalid,P/E ratio ?
valid,what do you know about mergers and acquisitions ?
valid,If I give you Rs.5000  per month for a year or give you Rs.50000 at the beginning of the year, which is a better deal ?
valid,Draw the income statement for a carpenter who buys wood at certain price and sells it at ___ some price? try and mention all the possible expenditures which may happen
valid,Question related to a finance project done by me : What are weather derivatives? Which countries as actually using it?
valid,Why Finance ? Why DB?
valid,Tell me something about yourself ?
valid,One negative quality that might affect your performance at DB
valid,Is less number of PORs a reason for your CGPA ?
valid,What is an ideal diode?. Draw its input output characteristic curve
valid,Write a program for computing the factorial of a number using recursion
valid,List ten cellular operators in India
valid,Draw the layers of OSI model
valid,What is the function of session layer?
valid,Tell us something about zener diode
valid,Who is the chairman of ISRO?
valid,Why do you want to join TCS?
valid,Write a program to print first 10 natural numbers on the screen
valid,What is an IP address?
valid,What is the full form of DRDO and NASA?
valid,Why do you want to join TCS?
valid,How will you be able to adjust yourself in the environment of the company?
invalid,Group Discussion on the topic of Modi's Governance
valid,Tell me about yourself
invalid,Simple Case Interview
invalid,Main case Round
invalid,Totally Based on CV. Especially on core projects
valid,walk me through your CV
valid,Usual HR Questions along with some situational questions like what would you do in such a condition
valid,Tell me about yourself
valid,Tell me about your B.Tech Project
valid,Tell me about your M.Tech Project.
invalid,Some fundamental questions on Mechanical Metallurgy
valid,Briefly describe your industrial experience
valid,What do you like most- Technology or Research?
valid,Why do you want to join Tata Steel ?
valid,Do You have any Questions?
valid,Why DataPRM
valid,Why Datascience?
valid,What do you know about datascience?
valid,The temperature in the warehouse has increased to a level that the efficiency of the work force has decreased. You have 3 processes. How would you tackle the situation?
valid,How does amazon operate? What are the metrics to be looked into? Tell me how would you ensure all the required metrics are at the best level?
valid,What could be the major issue while leading a team?
valid,Why amazon?
valid,There are 3 successive processes A,B,C in the production. You have 46 people in total. At A, person can process 150units/hr, at B 30units/hr and at C 450units/hr. Tell me how would you divide your workforce?
valid,You have ants at 3 corners of a triangle. What is the probability that they do not collide?
valid,Why amazon?
valid,You need to work for 11 hr a day and too standing, can you do it?
valid,Why amazon?
valid,There are 4 persons of weights 50kg, 50kg, 25kg, 25kg. You need to cross the the water using a boat. How many iterations does it take? The boat capacity is 75kg
valid,Same question, but the boat capacity is 50kg
invalid,Was show a puzzle in some app on mobile, was asked to solve it
valid,What is IC engine? How is it different from gas turbine? What have you done in GE? etc etc
valid,Tell me about a time when things were not going well in something. You took the incharge of the situation and have solve the problem
valid,Tell me about yourself
valid,What did you do in GE?
valid,What is the difference between 2 stroke and 4 stroke engine?
valid,Types of condensers?
valid,Why amazon?
valid,He explained my what is call value and put value in finance and asked me to plot it so that user maker maximum profit
valid,Find the magic number in an sorted array. magic number is the one whose value and index position is same
valid,Given a 2d matrix sorted row and column wise, search an element
valid,Design a newspaper subscription system
valid,A person can climb 1 or 2 stairs. Find the number of ways to jump n stairs
valid,How will you mane a LRU Cache
valid,Suppose you and I are playing a dice game. The one who get the lesser number looses the games. The dice has n sides. If I start the game, what is the probablity of you winning?
valid,Given 3 functions, f which gives the first day of the current month, g gives the next working day and h gives the previous working day, conpute the 3rd working day? Compute the 2nd working day of the previous month? COmpute the 4th working day of the next month?
valid,Do you know about what role you are opting? Tell me about it
valid,Tell me 10 categories of amazon products
valid,Tell me about any of your recent challenges
valid,Tell me about any experience where you felt bad shopping experience
valid,How would you react if you were in his position?
valid,A scenario was told and asked how would i deal with
valid,Tell me why shouldn't i hire you?
invalid,Any questions?
valid,Introduce Yourself- personally and academically.
valid,Weaknesses and Strengths
valid,When and how did you hear of our company. (Give them an answer more than just)
valid,Why sales and operations ? (Show your motivation for the profile here)
valid,How do you go about if you have to construct a house!
valid,What is Quality ( in terms of products, service etc) (BTP in Power 'Quality' so basically I took that as the base of this question).
valid,What puzzle/ C++ code you have solved recently
valid,Family background
valid,Weaknesses and Strengths.
valid,Why do you consider that a weakness!! (Show the positive side of your weakness)
valid,Are you comfortable working in this job location?
valid,You have been selected. Congrats.
invalid,Discussion on my internships and course projects.
valid,My field of interest, how well have I fared in it.
valid,Design a mvc controller system where given a url, I am able to invoke the right controller. Eg, given "xyz.com/a/b/c", I should be able to invoke c controller by going through a and b
valid,Design autocomplete in IDEs
valid,What is my weakness
valid,Given 2 game scenarios for basketball, and given p as the probability of making a basket in an attempt, I have to understand the condition where game1 would be preferable over game2. In first game, I have one trial and have to make a basket in that trial to win. In second game, I am given 3 trials and have to make at least 2 baskets to win
valid,Given a dictionary of words, I have to go from one word to another in least number of transitions where a transition is a defined as changing any letter of the current word such that the new word is also in the dictionary. Eg, cat --> dog would be cat --> cot --> cog --> dog
valid,Get us a _____ website 300000 views within 3 days
valid,Tell me about yourself in under 2 minutes
valid,What are your favorite subjects?
valid,What is your course structure?
valid,Why Tega industries?
valid,What is the aim of your life?
valid,What was the life changing experience for you?
valid,What do you hope to achieve in your life through Tega?
valid,Expain your branch
valid,Why do you want to join Tega?
invalid,Types of bearings/gears & their applications ? Questions related to my BTP
valid,Is Ceria ( the bed which I used in Design of a Catalytic Converter) cheaper than the bed used in available Catalytic Converters ?
valid,Which will have greater load bearing capacity, Rectangle kept in Horizontal/Vertical position ?
valid,Draw free body diagram of Anti-Lift Tractor(ALT) ? and many more questions related to it
valid,Tell me about yourself?
valid,Being from Gujarat why Job and Not Business ?
valid,Why you want to join Escorts Agri Machinery ?
valid,We have option between Design & Testing what you would choose?
valid,Estimate the size of racks of rice in a store in any area
valid,Since you do not have a background in analytics, is there anything you've done that would relate to it?
valid,Since you know e-commerce so well, why not go for a start-up?
valid,Do you have any plans for higher studies?
valid,why consulting
valid,have you attended the ppt?
valid,tell me what you have understood about our company from ppt
valid,do you like travelling?
valid,cv based questions like why have you worked in this fest
invalid,Basic coding questions (MySQL)
invalid,CV based questions
valid,Describe your project. (Mine was related to CFD simulation)
valid,Asked about different types of meshes and which is used where
